"e.g. domain.com/blog/identifier","VD. domain.com/blog/identifier"
"Hidden pages won't be shown in blog but still can be accessed directly","Trang web bị ẩn sẽ không hiển thị nhưng vẫn có thể truy cập trực tiếp"
"* Required Fields","* Trường bắt buộc"
"Action","Hành động"
"Add Category","Thêm danh mục"
"Add Comment","Thêm bình luận"
"Add Post","Thêm bài viết blog"
"Added By","Người viết"
"Advanced Options","Các tuỳ chọn nâng cao"
"Advanced Post Options","Các tuỳ chọn bài viết nâng cao"
"If enabled, all comments appear immediately without admin approval.","Nếu bật, tất cả bình luận sẽ xuất hiện ngay lập tức không cần quản trị phê duyệt"
"An error occured. Please try again","Đã xảy ra lỗi. Vui lòng thử lại"
"Approve","Phê duyệt"
"Approved","Đã phê duyệt"
"Are you sure?","Bạn có chắc chắn không?"
"Auto Approve Comments","Bình luận phê duyệt tự động"
"Blog Comment Manager","Quản trị bình luận blog"
"Blog Manager","Quản trị blog"
"Blog Post Manager","Quản trị bài viết blog"
"Blog Post Options","Tuỳ chọn bài viết blog"
"Blog Settings","Cài đặt blog"
"Blog Title","Tiêu đề blog"
"Blog","Blog"
"blog","blog"
"Bookmark with","Đánh dấu với"
"By","Bởi"
"Categories","Các danh mục"
"Category Comment Manager","Quản lý bình luận danh mục"
"Category does not exist","Danh mục không tồn tại"
"Category Information","Thông tin danh mục"
"Category Manager","Quản lý danh mục"
"Category","Danh mục"
"Change status","Thay đổi trạng thái"
"click here","click vào đây"
"Comma-separated","Phân chia bằng dấu phẩy"
"Comment Information","Thông tin bình luận"
"Comment Manager","Quản lý bình luận"
"Comment Submitted","Đề xuất bình luận"
"Comment was approved","Bình luận được phê duyệt"
"Comment was successfully deleted","Đã xoá bình luận thành công"
"Comment was successfully saved","Đã lưu bình luận thành công"
"Comment was unapproved","Bình luận không được phê duyệt"
"Comment","Bình luận"
"Comments are Closed for this post","Bình luận của bài viết này đã bị khoá"
"Comments are not enabled.","Bình luận không thực hiện được"
"Comments per Page","Bình luận trên mỗi trang"
"Comments","Bình luận"
"comments","comments"
"Content","Nội dung"
"Created At","Ngày viết"
"Created on","Được tạo vào ngày"
"Created","Đã được tạo"
"CSV","CSV"
"Date Format","Ngày định dạng"
"Default Posts Sorting","Sắp xếp bài viết mặc định"
"Delete Category","Xoá danh mục"
"Delete Comment","Xoá bình luận"
"Delete Post","Xoá bài viết"
"Delete","Xoá"
"Description","Mô tả"
"Disabled","Đóng"
"Disabling will close the post to new comments","Không sử dụng được sẽ đóng bài viết đối với bình luận mới"
"Duplicate Post","Bài viết bị trùng"
"Edit Category  '%s'","Sửa danh mục  '%s'"
"Edit Comment By '%s'","Sửa bình luận của  '%s'"
"Edit Post '%s'","Sửa bài viết '%s'"
"Edit","Sửa"
"Must NOT contain any slashes. "news" makes the blog accessible from domain.com/news. Leave blank for default value.","KHÔNG cần thêm dấu gạch chéo. "news" tạo ra truy cập blog từ domain.com/news. Bỏ khoảng trắng đối với giá trị mặc định"
"Email Address","Email địa chỉ"
"Email Sender","Email Người gửi"
"Email Template","Email Mẫu"
"Email","Email"
"Enable Blog RSS Feed","Bật RSS Feed cho Blog"
"Enable Categories Menu","Bật menu danh mục"
"Enable Comments","Bật Bình luận"
"Enable Footer Link","Bật Footer Link"
"Enable Left Menu","Bật Menu trái"
"Enable ReCAPTCHA","Bật ReCAPTCHA"
"Enable Right Menu","Bật Menu phải"
"Enable Top Link","Bật Top Link"
"Enable","Bật"
"Enabled","Đã bật"
"Error during generation sitemap","Lỗi trong quá trình dịch sơ đồ trang"
"Frequency","Tần suất"
"Full","Đầy"
"Go to <a href="http://www.google.com/recaptcha/intro/index.html">http://www.google.com/recaptcha/intro/index.html</a> to get keys","Đi đến <a href="http://www.google.com/recaptcha/intro/index.html">http://www.google.com/recaptcha/intro/index.html</a> để có từ khoá"
"Google Sitemap","Sơ đồ trang Google"
"Hidden","Ẩn giấu"
"Home","Trang chủ"
"ID","Chứng thực"
"Identifier","Người chứng thực"
"If enabled, additional "Short Content Field" is taken instead of truncated main post.","Nếu bật, "Trường Nội dung Ngắn" thêm vào được thay thế cho bài viết chính bị bỏ bớt"
"Keywords","Từ khoá"
"Latest Posts","Bài viết mới nhất"
"Leave blank to use current user name","Chọn khoảng trắng để sử dụng tên người dùng hiện tại"
"Link to Post","Liên kết đến bài viết"
"Logged in Auto Approve Comments","Đăng nhập để bình luận tự phê duyệt"
"Login Required to Comment","Cần đăng nhập khi bình luận"
"Long","Dài"
"Magento Blog extension by","Phần Blog mở rộng bởi"
"Medium","Trung bình"
"Menus and Links","Menus và Links"
"Meta Data","Dữ liệu Meta"
"Meta Description","Mô tả Meta"
"Meta Keywords","Từ khoá Meta"
"Name","Tên"
"Newer Posts","Bài viết mới hơn"
"Newest first","Bài mới nhất đầu tiên"
"No Posts in this Category.","Không có bài viết trong danh mục này"
"No","Không"
"Number of characters in a post to be displayed before it is truncated and the Read More link is added. 0 for unlimited.","Số lượng ký tự trong bài viết được hiển thị trước khi bị bỏ bớt và liên kết Đọc Thêm được thêm vào. 0 đối với không giới hạn"
"Number of post to display in the RSS feed.","Số lượng bài viết được hiển thị trong RSS feed."
"Older first","Bài viết cũ hơn đầu tiên"
"Older Posts","Bài viết cũ hơn"
"Only comments added by logged in users will be approved automatically","Chỉ những bình luận được thêm vào bởi người dùng đã đăng nhập sẽ được phê duyệt tự động"
"Page Layout","Giao diện trang"
"Parse CMS Tags in Post Contents","Phân tích Tags CMS của nội dung bài viết"
"Please select categories","Vui lòng lựa chọn danh mục"
"Please select comment(s)","Vui lòng lựa chọn bình luận"
"Please select post(s)","Vui lòng lựa chọn bài viết"
